date,product_category,product_name,units_sold,unit_price,customer_age,customer_gender,region,payment_method,satisfaction_score,promotion_applied
2024-01-05,Electronics,Smart TV,2,899.99,42,M,North,Credit Card,4,Yes
2024-01-07,Electronics,Smartphone,5,699.99,28,F,South,Credit Card,5,No
2024-01-10,Home & Kitchen,Coffee Maker,3,89.99,35,F,East,PayPal,4,No
2024-01-12,Clothing,Winter Jacket,4,129.99,31,M,West,Debit Card,3,Yes
2024-01-15,Electronics,Wireless Earbuds,8,79.99,24,F,North,Credit Card,5,Yes
2024-01-18,Home & Kitchen,Blender,2,59.99,45,F,South,PayPal,4,No
2024-01-20,Clothing,Running Shoes,3,89.99,29,M,East,Credit Card,4,No
2024-01-23,Electronics,Laptop,1,1299.99,33,F,West,Credit Card,5,Yes
2024-01-26,Home & Kitchen,Air Fryer,4,129.99,38,M,North,Debit Card,5,No
2024-01-29,Clothing,Jeans,5,49.99,26,F,South,PayPal,3,Yes
2024-02-02,Electronics,Tablet,3,399.99,41,M,East,Credit Card,4,No
2024-02-05,Home & Kitchen,Microwave,2,149.99,37,F,West,Debit Card,4,No
2024-02-08,Clothing,Sweater,6,39.99,23,M,North,PayPal,3,Yes
2024-02-11,Electronics,Gaming Console,2,499.99,19,M,South,Credit Card,5,Yes
2024-02-14,Home & Kitchen,Vacuum Cleaner,1,199.99,52,F,East,Credit Card,4,No
2024-02-17,Clothing,Dress Shirt,4,29.99,35,M,West,PayPal,3,No
2024-02-20,Electronics,Bluetooth Speaker,5,69.99,27,F,North,Debit Card,4,Yes
2024-02-23,Home & Kitchen,Toaster,3,34.99,44,M,South,Credit Card,3,No
2024-02-26,Clothing,Athletic Shorts,7,24.99,22,F,East,PayPal,4,Yes
2024-03-01,Electronics,Monitor,2,249.99,31,M,West,Credit Card,5,No
2024-03-04,Home & Kitchen,Food Processor,1,89.99,39,F,North,Debit Card,4,No
2024-03-07,Clothing,Sneakers,4,59.99,25,M,South,PayPal,4,Yes
2024-03-10,Electronics,Smartwatch,6,199.99,29,F,East,Credit Card,5,Yes
2024-03-13,Home & Kitchen,Electric Kettle,3,49.99,47,M,West,Debit Card,3,No
2024-03-16,Clothing,Wool Coat,1,169.99,36,F,North,Credit Card,4,Yes
2024-03-19,Electronics,Digital Camera,2,599.99,34,M,South,Credit Card,5,No
2024-03-22,Home & Kitchen,Stand Mixer,1,249.99,41,F,East,PayPal,5,Yes
2024-03-25,Clothing,Yoga Pants,5,34.99,28,F,West,Debit Card,4,No
2024-03-28,Electronics,Headphones,4,149.99,23,M,North,Credit Card,4,Yes
2024-03-31,Home & Kitchen,Rice Cooker,2,59.99,32,F,South,PayPal,3,No
2024-04-03,Clothing,Button-Up Shirt,3,39.99,37,M,East,Credit Card,3,Yes
